GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
56131	PCDHB4	protocadherin beta 4	-0.786	1.482
26167	PCDHB5	protocadherin beta 5	-0.923	3.646
56130	PCDHB6	protocadherin beta 6	-0.896	2.086
54661	PCDHB17P	protocadherin beta 17 pseudogene	-0.998	1.888
56129	PCDHB7	protocadherin beta 7	-0.882	2.216
57717	PCDHB16	protocadherin beta 16	-1.251	6.487
56127	PCDHB9	protocadherin beta 9	-0.947	2.864
56125	PCDHB11	protocadherin beta 11	-1.092	2.322
56122	PCDHB14	protocadherin beta 14	-0.537	1.888
6879	TAF7	TATA-box binding protein associated factor 7	-0.623	13.613
5098	PCDHGC3	protocadherin gamma subfamily C, 3	0.693	3.416
1729	DIAPH1	diaphanous related formin 1	0.826	7.28
285613	RELL2	RELT like 2	1.065	7.648
89848	FCHSD1	FCH and double SH3 domains 1	1.547	10.477
107986454	LOC107986454	uncharacterized LOC107986454	-1.27	2.02
107986455	LOC107986455	uncharacterized LOC107986455	-1.329	3.506
2246	FGF1	fibroblast growth factor 1	-1.306	5.561
153768	PRELID2	PRELI domain containing 2	-0.755	4.301
643226	GRXCR2	glutaredoxin and cysteine rich domain containing 2	-2.642	6.664
5521	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-0.511	1.602
105378217	STK32A-AS1	STK32A antisense RNA 1	-1.761	5.265
202374	STK32A	serine/threonine kinase 32A	-1.513	12.232
1809	DPYSL3	dihydropyrimidinase like 3	-0.997	5.612
9832	JAKMIP2	janus kinase and microtubule interacting protein 2	-2.003	9.155
389336	C5orf46	chromosome 5 open reading frame 46	-3.707	37.675
11005	SPINK5	serine peptidase inhibitor Kazal type 5	0.724	3.874
154	ADRB2	adrenoceptor beta 2	-1.936	23.951
79628	SH3TC2	SH3 domain and tetratricopeptide repeats 2	-1.285	6.405
22885	ABLIM3	actin binding LIM protein family member 3	-0.762	8.269
134266	GRPEL2	GrpE like 2, mitochondrial	0.627	6.204
106144529	GRPEL2-AS1	GRPEL2 antisense RNA 1	1.079	3.529
78991	PCYOX1L	prenylcysteine oxidase 1 like	-0.726	4.163
27190	IL17B	interleukin 17B	-1.496	2.635
728264	CARMN	cardiac mesoderm enhancer-associated non-coding RNA	-1.803	5.136
406937	MIR145	microRNA 145	-1.681	3.828
1452	CSNK1A1	casein kinase 1 alpha 1	0.946	18.807
389337	ARHGEF37	Rho guanine nucleotide exchange factor 37	0.555	4.102
133522	PPARGC1B	PPARG coactivator 1 beta	1.69	16.992
5145	PDE6A	phosphodiesterase 6A	-4.538	6.584
815	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	-1.135	2.721
6208	RPS14	ribosomal protein S14	-0.891	7.592
102546298	NDST1-AS1	NDST1 antisense RNA 1	0.722	2.074
3340	NDST1	N-deacetylase and N-sulfotransferase 1	0.888	9.41
11346	SYNPO	synaptopodin	0.52	4.45
2878	GPX3	glutathione peroxidase 3	1.162	2.783
10318	TNIP1	TNFAIP3 interacting protein 1	0.883	10.964
26112	CCDC69	coiled-coil domain containing 69	1.103	6.616
105378230	LOC105378230	uncharacterized LOC105378230	1.907	9.884
2760	GM2A	ganglioside GM2 activator	2.111	43.909
206358	SLC36A1	solute carrier family 36 member 1	1.199	13.207
2196	FAT2	FAT atypical cadherin 2	0.746	2.92
105378231	LOC105378231	uncharacterized LOC105378231	-0.534	1.771
475	ATOX1	antioxidant 1 copper chaperone	0.654	5.064
100652758	LOC100652758	uncharacterized LOC100652758	0.589	4.075
10146	G3BP1	G3BP stress granule assembly factor 1	0.715	6.239
4238	MFAP3	microfibril associated protein 3	0.982	10.546
55568	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	0.58	3.833
107986465	LOC107986465	uncharacterized LOC107986465	1.227	2.692
23367	LARP1	La ribonucleoprotein 1, translational regulator	0.842	8.286
153743	PPP1R2B	PPP1R2 family member B	0.545	1.381
84868	HAVCR2	hepatitis A virus cellular receptor 2	0.941	3.797
3702	ITK	IL2 inducible T cell kinase	1.922	7.49
102724404	NIPAL4-DT	NIPAL4 divergent transcript	1.127	3.718
348938	NIPAL4	NIPA like domain containing 4	1.252	23.251
8728	ADAM19	ADAM metallopeptidase domain 19	1.824	11.587
9685	CLINT1	clathrin interactor 1	0.649	8.571
1879	EBF1	EBF transcription factor 1	-0.863	2.807
153830	RNF145	ring finger protein 145	0.556	3.09
147	ADRA1B	adrenoceptor alpha 1B	-1.648	5.079
79616	CCNJL	cyclin J like	1.078	2.556
114898	C1QTNF2	C1q and TNF related 2	-0.703	2.75
9232	PTTG1	PTTG1 regulator of sister chromatid separation, securin	1.641	16.571
107075116	MIR3142HG	MIR3142 host gene	1.737	12.716
23120	ATP10B	ATPase phospholipid transporting 10B (putative)	1.908	31.642
285629	LINC02159	long intergenic non-protein coding RNA 2159	3.521	7.942
3161	HMMR	hyaluronan mediated motility receptor	1.834	13.334
101927813	HMMR-AS1	HMMR antisense RNA 1	1.627	7.334
57451	TENM2	teneurin transmembrane protein 2	1.073	4.211
1794	DOCK2	dedicator of cytokinesis 2	1.001	4.703
2299	FOXI1	forkhead box I1	-2.301	2.597
133874	C5orf58	chromosome 5 open reading frame 58	1.255	3.502
3937	LCP2	lymphocyte cytosolic protein 2	1.56	6.568
3779	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	-1.163	7.655
107986473	LOC107986473	uncharacterized LOC107986473	-3.412	9.347
107986475	LOC107986475	uncharacterized LOC107986475	-1.053	1.877
2568	GABRP	gamma-aminobutyric acid type A receptor subunit pi	-1.942	5.78
64901	RANBP17	RAN binding protein 17	-0.912	1.725
8817	FGF18	fibroblast growth factor 18	-1.345	2.337
107986476	LOC107986476	uncharacterized LOC107986476	1.093	2.345
23291	FBXW11	F-box and WD repeat domain containing 11	1.071	15.05
1843	DUSP1	dual specificity phosphatase 1	-1.018	3.514
100268168	RPL26L1-AS1	RPL26L1 antisense RNA 1	-1.247	4.01
105377735	LOC105377735		-0.734	1.348
80315	CPEB4	cytoplasmic polyadenylation element binding protein 4	0.929	4.268
105377740	LOC105377740	uncharacterized LOC105377740	1.133	1.385
94081	SFXN1	sideroflexin 1	1.109	16.737
3274	HRH2	histamine receptor H2	4.472	66.334
105377743	LOC105377743	uncharacterized LOC105377743	4.138	23.432
107986486	LOC107986486		0.539	1.485
100507387	LOC100507387	replaced by ID 202134	-2.645	8.067
114787	GPRIN1	G protein regulated inducer of neurite outgrowth 1	1.767	17.425
26262	TSPAN17	tetraspanin 17	0.503	4.824
90249	UNC5A	unc-5 netrin receptor A	3.417	16.777
3101	HK3	hexokinase 3	1.238	1.773
2264	FGFR4	fibroblast growth factor receptor 4	-0.648	2.27
64324	NSD1	nuclear receptor binding SET domain protein 1	0.678	3.386
27166	PRELID1	PRELI domain containing 1	0.596	3.403
6569	SLC34A1	solute carrier family 34 member 1	0.807	1.786
2161	F12	coagulation factor XII	1.36	16.508
340037	PRR7-AS1	PRR7 antisense RNA 1	-0.784	1.64
80758	PRR7	proline rich 7, synaptic	-0.938	7.807
1627	DBN1	drebrin 1	-1.283	10.797
79930	DOK3	docking protein 3	1.441	11.396
54732	TMED9	transmembrane p24 trafficking protein 9	0.673	15.158
202181	LOC202181	SUMO interacting motifs containing 1 pseudogene	-0.607	1.75
285596	FAM153A	family with sequence similarity 153 member A	-2.956	15.653
653316	FAM153CP	protein FAM153C	-2.356	6.88
3182	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	0.635	7.854
80108	ZFP2	ZFP2 zinc finger protein	-1.555	9.369
646019	CBY3	chibby family member 3	-0.794	1.363
821	CANX	calnexin	0.869	9.501
4056	LTC4S	leukotriene C4 synthase	-1.176	6.517
51149	MRNIP	MRN complex interacting protein	-0.836	4.504
100996419	MRNIP-DT	MRNIP divergent transcript	-0.723	2.277
255426	RASGEF1C	RasGEF domain family member 1C	-1.903	7.601
9945	GFPT2	glutamine-fructose-6-phosphate transaminase 2	0.556	1.357
57472	CNOT6	CCR4-NOT transcription complex subunit 6	1.055	22.939
105377766	LOC105377766		-0.983	2.252
729678	LINC00847	long intergenic non-protein coding RNA 847	-0.512	2.481
153579	BTNL9	butyrophilin like 9	-1.307	5.234
101928649	CTC-338M12.4	uncharacterized LOC101928649	-0.7	4.539
84851	TRIM52	tripartite motif containing 52	-0.687	6.149
100507602	TRIM52-AS1	TRIM52 antisense RNA 1 (head to head)	-1.207	9.107
100132062	LOC100132062	uncharacterized LOC100132062	0.682	1.616
102723922	LOC102723922		-0.841	1.767
102723944	LOC102723944	uncharacterized LOC102723944	-1.477	1.877
101927703	FOXCUT	FOXC1 upstream transcript	-2.208	8.163
2296	FOXC1	forkhead box C1	-1.639	7.747
2762	GMDS	GDP-mannose 4,6-dehydratase	-0.66	4.796
107986513	LOC107986513		-1.886	6.487
100508120	GMDS-DT	GMDS divergent transcript	-1.143	4.824
1992	SERPINB1	serpin family B member 1	1.766	9.762
221756	SERPINB9P1	serpin family B member 9 pseudogene 1	1.48	1.906
5272	SERPINB9	serpin family B member 9	1.983	13.132
401232	LINC01011	long intergenic non-protein coding RNA 1011	-0.833	2.957
101927759	LOC101927759	uncharacterized LOC101927759	-0.614	1.32
670	BPHL	biphenyl hydrolase like	-0.676	7.048
7280	TUBB2A	tubulin beta 2A class IIa	0.567	2.204
347733	TUBB2B	tubulin beta 2B class IIb	0.549	2.159
63027	SLC22A23	solute carrier family 22 member 23	0.66	9.731
643327	LOC643327	uncharacterized LOC643327	1.129	8.311
404220	TEX56P	testis expressed 56, pseudogene	-0.64	4.909
10455	ECI2	enoyl-CoA delta isomerase 2	-0.832	6.94
101927972	FARS2-AS1	FARS2 antisense RNA 1	0.731	1.31
107986515	LOC107986515		-1.781	2.842
105374898	LOC105374898	uncharacterized LOC105374898	-1.149	8.477
51299	NRN1	neuritin 1	-1.127	7.922
101928004	LOC101928004	uncharacterized LOC101928004	-3.57	5.305
6239	RREB1	ras responsive element binding protein 1	0.605	3.759
6745	SSR1	signal sequence receptor subunit 1	0.607	7.548
101928076	DSP-AS1	DSP antisense RNA 1	0.67	1.802
105374906	LOC105374906	uncharacterized LOC105374906	-1.428	3.954
100526836	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)	1.151	11.415
81567	TXNDC5	thioredoxin domain containing 5	1.186	12.109
100506207	LOC100506207	uncharacterized LOC100506207	-0.931	4.518
221718	LINC00518	long intergenic non-protein coding RNA 518	1.787	8.491
2651	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	-0.503	2.98
347744	C6orf52	chromosome 6 open reading frame 52	-0.859	2.909
51522	TMEM14C	transmembrane protein 14C	-0.517	4.552
81853	TMEM14B	transmembrane protein 14B	-0.568	5.456
4117	MAK	male germ cell associated kinase	-0.865	4.353
221711	SYCP2L	synaptonemal complex protein 2 like	-1.22	2.844
105374937	LOC105374937	uncharacterized LOC105374937	-0.816	1.8
23408	SIRT5	sirtuin 5	-0.52	4.264
10048	RANBP9	RAN binding protein 9	0.596	7.447
221687	RNF182	ring finger protein 182	-1.432	3.441
9308	CD83	CD83 molecule	1.274	5.957
101928331	LOC101928331	uncharacterized LOC101928331	-2.183	4.899
29116	MYLIP	myosin regulatory light chain interacting protein	0.529	4.888
6310	ATXN1	ataxin 1	0.529	4.986
221662	RBM24	RNA binding motif protein 24	-1.336	3.674
9972	NUP153	nucleoporin 153	0.724	5.993
105374952	NUP153-AS1	NUP153 antisense RNA 1	1.116	4.066
7913	DEK	DEK proto-oncogene	0.504	3.74
255488	RNF144B	ring finger protein 144B	0.703	3.546
100506885	LNC-LBCS	lncRNA bladder and prostate cancer suppressor, hnRNPK interacting	-1.597	4.82
3400	ID4	inhibitor of DNA binding 4	-2.117	32.514
154141	MBOAT1	membrane bound O-acyltransferase domain containing 1	-0.817	5.582
1871	E2F3	E2F transcription factor 3	1.378	33.015
105374968	LOC105374968	uncharacterized LOC105374968	-1.041	1.766
2822	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	0.763	3.132
7915	ALDH5A1	aldehyde dehydrogenase 5 family member A1	1.057	5.259
51567	TDP2	tyrosyl-DNA phosphodiesterase 2	0.811	8.219
81688	C6orf62	chromosome 6 open reading frame 62	0.689	12.021
8418	CMAHP	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene	-2.489	29.157
8347	H2BC4	H2B clustered histone 4	-0.888	1.565
3017	H2BC5	H2B clustered histone 5	-0.802	2.227
8339	H2BC8	H2B clustered histone 8	-1.126	1.789
3012	H2AC8	H2A clustered histone 8	-1.615	5.301
105374985	LOC105374985		-0.631	1.497
54718	BTN2A3P	butyrophilin subfamily 2 member A3, pseudogene	0.687	1.376
102724851	LOC102724851	uncharacterized LOC102724851	-1.493	5.909
387036	GUSBP2	GUSB pseudogene 2	-0.668	1.749
7754	ZNF204P	zinc finger protein 204, pseudogene	-1.387	9.65
105375001	LOC105375001	uncharacterized LOC105375001	-0.825	1.309
100507173	LINC01012	long intergenic non-protein coding RNA 1012	-1.979	5.122
100131289	LOC100131289	uncharacterized LOC100131289	-0.756	1.511
100129195	ZSCAN16-AS1	ZSCAN16 antisense RNA 1	-0.832	4.579
80345	ZSCAN16	zinc finger and SCAN domain containing 16	-0.686	3.546
7746	ZSCAN9	zinc finger and SCAN domain containing 9	-0.567	2.747
222698	NKAPL	NFKB activating protein like	-0.856	1.946
64288	ZSCAN31	zinc finger and SCAN domain containing 31	1.103	3.059
80317	ZKSCAN3	zinc finger with KRAB and SCAN domains 3	-0.71	4.244
282890	ZNF311	zinc finger protein 311	-0.582	2.198
10537	UBD	ubiquitin D	1.303	2.371
2550	GABBR1	gamma-aminobutyric acid type B receptor subunit 1	-0.885	3.841
3135	HLA-G	major histocompatibility complex, class I, G	1.266	1.986
3136	HLA-H	major histocompatibility complex, class I, H (pseudogene)	0.698	2.267
3105	HLA-A	major histocompatibility complex, class I, A	0.56	2.427
80862	POLR1HASP	POLR1H antisense, pseudogene	-0.838	3.298
10107	TRIM10	tripartite motif containing 10	3.574	72.104
89870	TRIM15	tripartite motif containing 15	3.681	43.302
3133	HLA-E	major histocompatibility complex, class I, E	0.51	5.394
5514	PPP1R10	protein phosphatase 1 regulatory subunit 10	0.656	3.371
170954	PPP1R18	protein phosphatase 1 regulatory subunit 18	0.581	5.062
105379695	IER3-AS1	IER3 antisense RNA 1	-0.862	2.199
8870	IER3	immediate early response 3	-0.858	2.209
29113	C6orf15	chromosome 6 open reading frame 15	-0.774	1.582
1041	CDSN	corneodesmosin	0.687	2.512
6941	TCF19	transcription factor 19	0.775	10.452
253018	HCG27	HLA complex group 27	-1.142	3.426
3106	HLA-B	major histocompatibility complex, class I, B	0.816	4.455
101929072	MICA-AS1	MICA antisense RNA 1	-0.626	2.053
352961	HCG26	HLA complex group 26	-0.915	2.723
102725068	MICB-DT	MICB divergent transcript	-1.115	2.284
4277	MICB	MHC class I polypeptide-related sequence B	0.822	2.459
534	ATP6V1G2	ATPase H+ transporting V1 subunit G2	-0.801	1.36
4050	LTB	lymphotoxin beta	1.245	5.397
7940	LST1	leukocyte specific transcript 1	-0.741	2.852
58496	LY6G5B	lymphocyte antigen 6 family member G5B	-0.71	1.821
110599563	LY6G6F-LY6G6D	LY6G6F-LY6G6D readthrough	-1.954	4.029
259215	LY6G6F	lymphocyte antigen 6 family member G6F	-1.865	4.22
58530	LY6G6D	lymphocyte antigen 6 family member G6D	-2.122	3.905
80739	MPIG6B	megakaryocyte and platelet inhibitory receptor G6b	-0.829	4.538
23564	DDAH2	dimethylarginine dimethylaminohydrolase 2	-1.043	12.374
100532732	MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)	-1.233	10.133
401251	SAPCD1	suppressor APC domain containing 1	-2.878	24.449
80737	VWA7	von Willebrand factor A domain containing 7	-1.777	15.16
104413891	SAPCD1-AS1	SAPCD1 antisense RNA 1	-3.081	26.504
7407	VARS1	valyl-tRNA synthetase 1	0.683	5.329
50854	SNHG32	small nucleolar RNA host gene 32	-0.62	3.208
717	C2	complement C2	0.801	1.852
629	CFB	complement factor B	2.217	21.725
1590	CYP21A1P	cytochrome P450 family 21 subfamily A member 1, pseudogene	-1.649	10.466
7146	TNXA	tenascin XA (pseudogene)	-1.418	8.365
1589	CYP21A2	cytochrome P450 family 21 subfamily A member 2	-1.66	10.238
7148	TNXB	tenascin XB	-1.03	4.348
63943	FKBPL	FKBP prolyl isomerase like	1.195	11.498
80864	EGFL8	EGF like domain multiple 8	-0.543	1.533
10554	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	-0.876	2.697
102466190	MIR6721	microRNA 6721	-0.808	2.049
63940	GPSM3	G protein signaling modulator 3	0.603	2.469
4855	NOTCH4	notch receptor 4	-0.624	3.722
3123	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	0.525	1.42
107986589	LOC107986589		0.668	1.665
3120	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	-0.885	3.502
6891	TAP2	transporter 2, ATP binding cassette subfamily B member	1.518	14.528
5696	PSMB8	proteasome 20S subunit beta 8	0.669	6.268
100507463	PSMB8-AS1	PSMB8 antisense RNA 1 (head to head)	0.795	5.624
6890	TAP1	transporter 1, ATP binding cassette subfamily B member	1.196	12.926
5698	PSMB9	proteasome 20S subunit beta 9	0.708	3.933
3111	HLA-DOA	major histocompatibility complex, class II, DO alpha	0.589	2.113
3113	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	0.501	1.961
1302	COL11A2	collagen type XI alpha 2 chain	-0.88	2.083
7922	SLC39A7	solute carrier family 39 member 7	0.677	14.371
7923	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8	-0.724	7.604
6222	RPS18	ribosomal protein S18	-0.941	8.421
6892	TAPBP	TAP binding protein	0.736	8.415
3833	KIFC1	kinesin family member C1	1.593	16.625
5252	PHF1	PHD finger protein 1	-0.984	12.705
51596	CUTA	cutA divalent cation tolerance homolog	-0.609	4.95
578	BAK1	BCL2 antagonist/killer 1	1.257	15.947
101929188	ITPR3-AS1	ITPR3 antisense RNA 1	-1.03	5.532
3159	HMGA1	high mobility group AT-hook 1	0.715	7.421
221491	SMIM29	small integral membrane protein 29	-0.632	5.787
100529239	RPS10-NUDT3	RPS10-NUDT3 readthrough	-0.643	3.656
6204	RPS10	ribosomal protein S10	-0.723	4.277
25803	SPDEF	SAM pointed domain containing ETS transcription factor	-2.8	4.81
64771	ILRUN	inflammation and lipid regulator with UBA-like and NBR1-like domains	0.59	3.939
101929243	ILRUN-AS1	ILRUN antisense RNA 1	0.561	1.885
54887	BLTP3A	bridge-like lipid transfer protein family member 3A	0.841	5.116
222663	SCUBE3	signal peptide, CUB domain and EGF like domain containing 3	-1.701	8.601
5467	PPARD	peroxisome proliferator activated receptor delta	1.407	24.732
4736	RPL10A	ribosomal protein L10a	-0.538	3.62
7287	TULP1	TUB like protein 1	-0.864	3.732
6732	SRPK1	SRSF protein kinase 1	0.635	5.993
1432	MAPK14	mitogen-activated protein kinase 14	0.874	17.467
5603	MAPK13	mitogen-activated protein kinase 13	0.533	7.708
102723648	BRPF3-AS1	BRPF3 antisense RNA 1	-1.384	2.139
101154753	PANDAR	promoter of CDKN1A antisense DNA damage activated RNA	0.679	2.044
1026	CDKN1A	cyclin dependent kinase inhibitor 1A	0.555	2.433
401258	RAB44	RAB44, member RAS oncogene family	-0.832	3.459
51645	PPIL1	peptidylprolyl isomerase like 1	0.752	5.062
221472	FGD2	FYVE, RhoGEF and PH domain containing 2	1.05	7.03
5292	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	0.714	12.747
266727	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	-1.423	1.757
1769	DNAH8	dynein axonemal heavy chain 8	-2.443	2.226
8645	KCNK5	potassium two pore domain channel subfamily K member 5	-1.519	6.488
221458	KIF6	kinesin family member 6	-1.845	4.88
23500	DAAM2	dishevelled associated activator of morphogenesis 2	-0.774	5.651
100505635	DAAM2-AS1	DAAM2 antisense RNA 1	-0.723	2.513
10930	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	-1.18	4.48
221442	ADCY10P1	ADCY10 pseudogene 1	-1.103	3.584
340205	TREML1	triggering receptor expressed on myeloid cells like 1	1.76	2.71
54209	TREM2	triggering receptor expressed on myeloid cells 2	1.884	1.775
79865	TREML2	triggering receptor expressed on myeloid cells like 2	2.166	5.233
54210	TREM1	triggering receptor expressed on myeloid cells 1	3.166	6.252
4188	MDFI	MyoD family inhibitor	1.702	17.891
29964	PRICKLE4	prickle planar cell polarity protein 4	0.728	4.372
705	BYSL	bystin like	0.746	6.082
2979	GUCA1B	guanylate cyclase activator 1B	-1.601	8.301
401261	LOC401261	uncharacterized LOC401261	-0.581	1.363
88745	RRP36	ribosomal RNA processing 36	0.551	5.167
112267958	KLC4-AS1	KLC4 antisense RNA 1	-0.577	3.151
5754	PTK7	protein tyrosine kinase 7 (inactive)	0.582	4.11
401262	CRIP3	cysteine rich protein 3	-3.093	13.312
57510	XPO5	exportin 5	0.801	11.684
54676	GTPBP2	GTP binding protein 2	0.576	10.269
7422	VEGFA	vascular endothelial growth factor A	0.672	3.786
221416	LINC03040	long intergenic non-protein coding RNA 3040	2.879	9.407
11131	CAPN11	calpain 11	-1.62	11.613
101929726	MYMX	myomixer, myoblast fusion factor	-0.915	1.616
2030	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	-1.009	15.191
4794	NFKBIE	NFKB inhibitor epsilon	0.912	10.392
202500	TCTE1	t-complex-associated-testis-expressed 1	0.812	2.345
57505	AARS2	alanyl-tRNA synthetase 2, mitochondrial	0.643	4.345
8464	SUPT3H	SPT3 homolog, SAGA and STAGA complex component	-0.539	3.552
53405	CLIC5	chloride intracellular channel 5	-0.837	6.081
22875	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	-0.854	4.086
59084	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5	-2.368	18.344
10231	RCAN2	regulator of calcineurin 2	-1.365	16.981
51302	CYP39A1	cytochrome P450 family 39 subfamily A member 1	-1.435	9.472
9481	SLC25A27	solute carrier family 25 member 27	-1.367	8.838
221400	TDRD6	tudor domain containing 6	-0.599	1.388
266977	ADGRF1	adhesion G protein-coupled receptor F1	7.943	40.087
27242	TNFRSF21	TNF receptor superfamily member 21	2.518	22.472
222611	ADGRF2	adhesion G protein-coupled receptor F2	-1.287	9.321
7021	TFAP2B	transcription factor AP-2 beta	-0.69	3.601
4172	MCM3	minichromosome maintenance complex component 3	0.686	4.214
114327	EFHC1	EF-hand domain containing 1	-1.132	9.811
401264	TRAM2-AS1	TRAM2 antisense RNA 1 (head to head)	-0.993	8.316
105375091	LOC105375091	uncharacterized LOC105375091	-1.954	8.576
2940	GSTA3	glutathione S-transferase alpha 3	-2.059	3.158
2941	GSTA4	glutathione S-transferase alpha 4	0.522	5.04
125050	RN7SK	RNA component of 7SK nuclear ribonucleoprotein	-1.136	2.18
22858	CILK1	ciliogenesis associated kinase 1	0.682	6.68
26268	FBXO9	F-box protein 9	0.683	10.088
401265	KLHL31	kelch like family member 31	-0.967	2.514
100874282	MLIP-IT1	MLIP intronic transcript 1	-0.728	1.364
222584	FAM83B	family with sequence similarity 83 member B	0.658	4.992
81578	COL21A1	collagen type XXI alpha 1 chain	-1.753	13.345
9532	BAG2	BAG cochaperone 2	-0.71	2.395
101927268	LOC101927268	uncharacterized LOC101927268	-2.135	8.228
375513	GUSBP4	GUSB pseudogene 4	-1.028	4.293
51557	LGSN	lengsin, lens protein with glutamine synthetase domain	0.641	2.066
7803	PTP4A1	protein tyrosine phosphatase 4A1	0.894	5.234
55788	LMBRD1	LMBR1 domain containing 1	-0.601	12.089
105377847	LOC105377847	uncharacterized LOC105377847	-1.809	4.274
101928353	LINC01610	long intergenic non-protein coding RNA 1610	-2.005	4.943
57579	FAM135A	family with sequence similarity 135 member A	0.639	4.962
135154	SDHAF4	succinate dehydrogenase complex assembly factor 4	-1.006	8.669
79940	LINC00472	long intergenic non-protein coding RNA 472	-1.329	8.049
22999	RIMS1	regulating synaptic membrane exocytosis 1	-2.234	4.313
55510	DDX43	DEAD-box helicase 43	-1.334	1.366
115004	CGAS	cyclic GMP-AMP synthase	2.196	29.493
25821	MTO1	mitochondrial tRNA translation optimization 1	0.715	7.506
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	-0.515	4.291
101928489	CD109-AS1	CD109 antisense RNA 1	-0.515	1.484
55754	TMEM30A	transmembrane protein 30A	0.577	5.006
27145	FILIP1	filamin A interacting protein 1	-0.915	4.443
101928570	LOC101928570	uncharacterized LOC101928570	-1.384	2.627
167691	LCA5	lebercilin LCA5	-0.579	1.67
6785	ELOVL4	ELOVL fatty acid elongase 4	0.838	2.63
7272	TTK	TTK protein kinase	1.904	14.945
594	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	-0.891	5.611
105377872	LOC105377872		-1.598	4.02
7162	TPBG	trophoblast glycoprotein	2.03	208.303
90025	UBE3D	ubiquitin protein ligase E3D	0.586	4.114
4199	ME1	malic enzyme 1	0.918	2.475
51167	CYB5R4	cytochrome b5 reductase 4	0.662	7.296
112609	MRAP2	melanocortin 2 receptor accessory protein 2	0.576	2.202
107986620	LOC107986620	uncharacterized LOC107986620	-2.277	7.179
9096	TBX18	T-box transcription factor 18	-1.353	8.823
10492	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	0.757	6.281
387066	SNHG5	small nucleolar RNA host gene 5	-0.709	1.516
57150	SMIM8	small integral membrane protein 8	-0.738	4.474
206412	C6orf163	chromosome 6 open reading frame 163	-1.003	4.342
10559	SLC35A1	solute carrier family 35 member A1	-0.629	5.077
55122	AKIRIN2	akirin 2	0.904	12.394
101929004	LOC101929004	uncharacterized LOC101929004	-1.152	3.011
22881	ANKRD6	ankyrin repeat domain 6	-0.972	10.849
105377887	LOC105377887		-0.86	1.766
60468	BACH2	BTB domain and CNC homolog 2	-0.842	6.969
101927288	MANEA-DT	MANEA divergent transcript	-0.947	2.789
253714	MMS22L	MMS22 like, DNA repair protein	0.642	2.658
25957	PNISR	PNN interacting serine and arginine rich protein	-0.743	7.372
10973	ASCC3	activating signal cointegrator 1 complex subunit 3	1.147	9.881
2898	GRIK2	glutamate ionotropic receptor kainate type subunit 2	-1.892	4.828
5550	PREP	prolyl endopeptidase	0.608	8.082
639	PRDM1	PR/SET domain 1	1.664	24.727
202	CRYBG1	crystallin beta-gamma domain containing 1	0.903	7.668
105377924	LOC105377924	uncharacterized LOC105377924	1.776	5.936
100133941	CD24	CD24 molecule	2.285	32.038
57673	BEND3	BEN domain containing 3	0.978	4.984
55084	SOBP	sine oculis binding protein homolog	-0.917	2.532
28962	OSTM1	osteoclastogenesis associated transmembrane protein 1	0.528	7.887
84071	ARMC2	armadillo repeat containing 2	-0.883	5.789
27244	SESN1	sestrin 1	-0.58	4.444
221262	CCDC162P	coiled-coil domain containing 162, pseudogene	-1.019	1.416
64780	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	-0.652	3.349
221264	AK9	adenylate kinase 9	-0.689	6.508
8936	WASF1	WASP family member 1	0.895	7.452
728464	METTL24	methyltransferase like 24	-0.666	2.509
8528	DDO	D-aspartate oxidase	-2.352	4.503
262	AMD1	adenosylmethionine decarboxylase 1	1.124	14.522
112495	GTF3C6	general transcription factor IIIC subunit 6	0.733	7.073
117247	SLC16A10	solute carrier family 16 member 10	1.274	12.058
107986521	MFSD4B-DT	MFSD4B divergent transcript	1.158	4.544
643749	TRAF3IP2-AS1	TRAF3IP2 antisense RNA 1	-0.651	3.446
