GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
440925	LINC01124	long intergenic non-protein coding RNA 1124	1.397	2.965
389058	SP5	Sp5 transcription factor	1.052	3.194
285141	ERICH2	glutamate rich 2	1.041	2.192
26003	GORASP2	golgi reassembly stacking protein 2	-0.542	4.281
79828	METTL8	methyltransferase 8, methylcytidine	-0.73	10.552
79901	CYBRD1	cytochrome b reductase 1	0.8	2.003
8520	HAT1	histone acetyltransferase 1	-0.545	2.335
83879	CDCA7	cell division cycle associated 7	-0.633	3.625
285084	LINC01305	long intergenic non-protein coding RNA 1305	1.629	3.006
100131390	SP9	Sp9 transcription factor	2.174	4.832
151556	GPR155	G protein-coupled receptor 155	0.581	1.978
1123	CHN1	chimerin 1	-0.852	2.562
3235	HOXD9	homeobox D9	0.594	3.259
401021	LOC401021	uncharacterized LOC401021	0.582	1.485
3233	HOXD4	homeobox D4	1.431	4.816
3232	HOXD3	homeobox D3	1.346	3.835
401022	HAGLR	HOXD antisense growth-associated long non-coding RNA	0.554	2.828
10651	MTX2	metaxin 2	-0.551	2.225
375295	LINC01116	long intergenic non-protein coding RNA 1116	0.829	3.21
102724224	LINC01117	long intergenic non-protein coding RNA 1117	0.82	2.227
50940	PDE11A	phosphodiesterase 11A	1.412	1.648
151126	ZNF385B	zinc finger protein 385B	1.432	2.498
3676	ITGA4	integrin subunit alpha 4	-1.034	4.501
375298	CERKL	ceramide kinase like	-0.912	2.866
2487	FRZB	frizzled related protein	1.01	3.497
401024	FSIP2	fibrous sheath interacting protein 2	1.648	2.785
107985783	LOC107985783		1.553	2.21
165215	FAM171B	family with sequence similarity 171 member B	0.751	2.612
54529	ASNSD1	asparagine synthetase domain containing 1	-0.646	1.561
110599588	ASDURF	ASNSD1 upstream open reading frame	-0.666	1.506
150709	ANKAR	ankyrin and armadillo repeat containing	0.622	2.058
84281	C2orf88	chromosome 2 open reading frame 88	0.861	3.792
3628	INPP1	inositol polyphosphate-1-phosphatase	-0.713	3.381
4664	NAB1	NGFI-A binding protein 1	0.565	3.655
2744	GLS	glutaminase	0.679	1.621
6772	STAT1	signal transducer and activator of transcription 1	-1.94	16.31
4430	MYO1B	myosin IB	-1.222	7.124
64859	NABP1	nucleic acid binding protein 1	-1.284	6.798
8436	CAVIN2	caveolae associated protein 2	0.629	2.833
80055	PGAP1	post-GPI attachment to proteins inositol deacylase 1	0.619	3.86
80219	COQ10B	coenzyme Q10B	-0.648	1.819
100529241	HSPE1-MOB4	HSPE1-MOB4 readthrough	-0.855	2.206
3336	HSPE1	heat shock protein family E (Hsp10) member 1	-0.815	2.194
25843	MOB4	MOB family member 4, phocein	-0.88	1.935
23314	SATB2	SATB homeobox 2	0.757	3.785
151246	SGO2	shugoshin 2	-0.796	5.106
101927795	BZW1-AS1	BZW1 antisense RNA 1	-1.333	3.896
9689	BZW1	basic leucine zipper and W2 domains 1	-1.216	4.587
65072	CFLAR-AS1	CFLAR antisense RNA 1	-0.641	3.663
843	CASP10	caspase 10	-0.754	6.296
151254	C2CD6	C2 calcium dependent domain containing 6	1.144	2.97
8324	FZD7	frizzled class receptor 7	0.72	2.358
51602	NOP58	NOP58 ribonucleoprotein	-0.724	4.333
130026	ICA1L	islet cell autoantigen 1 like	0.71	2.306
55759	WDR12	WD repeat domain 12	-0.955	10.057
940	CD28	CD28 molecule	-1.442	5.735
1493	CTLA4	cytotoxic T-lymphocyte associated protein 4	-2.553	8.973
29851	ICOS	inducible T cell costimulator	-2.787	11.435
117583	PARD3B	par-3 family cell polarity regulator beta	0.682	3.773
100329109	GCSHP3	GCSH pseudogene 3	0.644	1.903
2825	CMKLR2	chemerin chemokine-like receptor 2	-1.83	9.314
8745	ADAM23	ADAM metallopeptidase domain 23	-1.11	2.792
105373853	MYOSLID	myocardin-induced smooth muscle lncRNA, inducer of differentiation	-2.037	7.419
6120	RPE	ribulose-5-phosphate-3-epimerase	-0.533	1.323
151050	KANSL1L	KAT8 regulatory NSL complex subunit 1 like	0.678	6.035
101928020	KANSL1L-AS1	KANSL1L antisense RNA 1	1.098	1.497
33	ACADL	acyl-CoA dehydrogenase long chain	1.763	6.613
2066	ERBB4	erb-b2 receptor tyrosine kinase 4	2.954	6.739
79582	SPAG16	sperm associated antigen 16	0.596	1.712
101928103	SNHG31	small nucleolar RNA host gene 31	2.066	12.647
26154	ABCA12	ATP binding cassette subfamily A member 12	-1.604	6.174
112268430	LOC112268430		0.69	1.408
55686	MREG	melanoregulin	-1.624	8.041
55825	PECR	peroxisomal trans-2-enoyl-CoA reductase	1.621	1.653
92691	TMEM169	transmembrane protein 169	0.924	2.847
150967	LINC01963	long intergenic non-protein coding RNA 1963	0.746	2.541
3488	IGFBP5	insulin like growth factor binding protein 5	1.34	5.972
7145	TNS1	tensin 1	0.687	2.215
3579	CXCR2	C-X-C motif chemokine receptor 2	-1.897	7.38
3577	CXCR1	C-X-C motif chemokine receptor 1	-1.654	2.771
101928487	LOC101928487	uncharacterized LOC101928487	-0.678	2.195
10109	ARPC2	actin related protein 2/3 complex subunit 2	-0.869	3.66
6556	SLC11A1	solute carrier family 11 member 1	-1.157	1.736
9125	CNOT9	CCR4-NOT transcription complex subunit 9	-0.599	5.604
64320	RNF25	ring finger protein 25	-0.526	3.622
7475	WNT6	Wnt family member 6	0.693	1.558
80326	WNT10A	Wnt family member 10A	-0.729	3.434
107984111	LOC107984111		0.964	1.653
7277	TUBA4A	tubulin alpha 4a	-1.13	5.192
10290	SPEG	striated muscle enriched protein kinase	1.269	2.67
23363	OBSL1	obscurin like cytoskeletal adaptor 1	0.928	2.546
5077	PAX3	paired box 3	1.367	10.397
10056	FARSB	phenylalanyl-tRNA synthetase subunit beta	-0.595	5.036
2181	ACSL3	acyl-CoA synthetase long chain family member 3	0.675	1.602
130340	AP1S3	adaptor related protein complex 1 subunit sigma 3	-0.871	3.259
3667	IRS1	insulin receptor substrate 1	0.767	2.951
6364	CCL20	C-C motif chemokine ligand 20	-2.733	5.461
92737	DNER	delta/notch like EGF repeat containing	1.519	2.236
151473	SLC16A14	solute carrier family 16 member 14	-0.878	4.292
3431	SP110	SP110 nuclear body protein	-0.791	10.666
6672	SP100	SP100 nuclear antigen	-0.548	2.037
51719	CAB39	calcium binding protein 39	-0.556	6.143
257407	C2orf72	chromosome 2 open reading frame 72	1.843	2.206
112268432	LOC112268432	uncharacterized LOC112268432	1.747	2.475
5147	PDE6D	phosphodiesterase 6D	-0.514	1.796
9427	ECEL1	endothelin converting enzyme like 1	-2.2	4.955
9470	EIF4E2	eukaryotic translation initiation factor 4E family member 2	-0.659	1.687
80303	EFHD1	EF-hand domain family member D1	0.853	2.479
3769	KCNJ13	potassium inwardly rectifying channel subfamily J member 13	1.371	3.319
4759	NEU2	neuraminidase 2	-3.537	7.302
54576	UGT1A8	UDP glucuronosyltransferase family 1 member A8	-1.281	2.981
54575	UGT1A10	UDP glucuronosyltransferase family 1 member A10	-1.332	3.142
54600	UGT1A9	UDP glucuronosyltransferase family 1 member A9	-1.265	2.903
54577	UGT1A7	UDP glucuronosyltransferase family 1 member A7	-2.4	8.582
54579	UGT1A5	UDP glucuronosyltransferase family 1 member A5	-1.258	2.883
54657	UGT1A4	UDP glucuronosyltransferase family 1 member A4	-1.218	2.777
54659	UGT1A3	UDP glucuronosyltransferase family 1 member A3	-1.244	2.842
54658	UGT1A1	UDP glucuronosyltransferase family 1 member A1	-1.22	2.734
55355	HJURP	Holliday junction recognition protein	-1.177	5.838
23677	SH3BP4	SH3 domain binding protein 4	0.802	2.061
116987	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	0.56	2.737
79083	MLPH	melanophilin	1.139	3.897
100533179	UBE2F-SCLY	UBE2F-SCLY readthrough (NMD candidate)	-1.353	6.874
140739	UBE2F	ubiquitin conjugating enzyme E2 F (putative)	-1.386	7.217
51540	SCLY	selenocysteine lyase	-0.69	3.92
51665	ASB1	ankyrin repeat and SOCS box containing 1	0.57	6.409
107986003	LOC107986003	uncharacterized LOC107986003	0.962	6.983
2817	GPC1	glypican 1	0.684	2.488
100130449	GPC1-AS1	GPC1 antisense RNA 1	1.809	3.923
547	KIF1A	kinesin family member 1A	1.089	1.801
79919	MAB21L4	mab-21 like 4	-0.782	3.286
105373975	LOC105373975		0.655	1.412
1841	DTYMK	deoxythymidylate kinase	-1.084	3.319
728294	D2HGDH	D-2-hydroxyglutarate dehydrogenase	1.18	3.152
5133	PDCD1	programmed cell death 1	-2.077	9.342
10752	CHL1	cell adhesion molecule L1 like	0.767	1.7
101927193	CHL1-AS1	CHL1 antisense RNA 1	0.783	1.548
152330	CNTN4	contactin 4	0.85	1.745
57633	LRRN1	leucine rich repeat neuronal 1	0.923	2.707
55207	ARL8B	ADP ribosylation factor like GTPase 8B	-0.64	1.986
9695	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1	-0.63	3.813
29931	LINC00312	long intergenic non-protein coding RNA 312	0.713	1.667
10093	ARPC4	actin related protein 2/3 complex subunit 4	-0.745	2.213
100526693	ARPC4-TTLL3	ARPC4-TTLL3 readthrough	-0.538	2.174
26140	TTLL3	tubulin tyrosine ligase like 3	0.965	1.579
132014	IL17RE	interleukin 17 receptor E	1.047	3.427
84818	IL17RC	interleukin 17 receptor C	0.556	1.696
100874032	PRRT3-AS1	PRRT3 antisense RNA 1	0.886	2.676
442075	EMC3-AS1	EMC3 antisense RNA 1	0.613	1.402
2177	FANCD2	FA complementation group D2	-0.587	4.227
3656	IRAK2	interleukin 1 receptor associated kinase 2	-2.06	13.949
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component	-0.631	3.137
491	ATP2B2	ATPase plasma membrane Ca2+ transporting 2	2.926	8.083
6538	SLC6A11	solute carrier family 6 member 11	-1.008	4.781
105376950	LOC105376950	uncharacterized LOC105376950	-3.404	12.369
6529	SLC6A1	solute carrier family 6 member 1	-1.091	2.078
3269	HRH1	histamine receptor H1	-0.529	1.641
105376952	LOC105376952	replaced by ID 10533	0.852	1.558
6854	SYN2	synapsin II	1.921	6.503
5468	PPARG	peroxisome proliferator activated receptor gamma	0.937	1.362
55287	TMEM40	transmembrane protein 40	-1.513	3.83
23066	CAND2	cullin associated and neddylation dissociated 2 (putative)	1.01	3.025
23225	NUP210	nucleoporin 210	-0.689	1.718
7476	WNT7A	Wnt family member 7A	-1.292	6.568
131474	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	-0.64	3.242
79188	TMEM43	transmembrane protein 43	0.602	7.196
7508	XPC	XPC complex subunit, DNA damage recognition and repair factor	0.852	5.188
107986063	XPC-AS1	XPC antisense RNA 1	1.65	2.89
84077	C3orf20	chromosome 3 open reading frame 20	0.816	1.981
105376963	LOC105376963	uncharacterized LOC105376963	0.55	1.516
100505696	SH3BP5-AS1	SH3BP5 antisense RNA 1	0.825	5.027
9467	SH3BP5	SH3 domain binding protein 5	0.732	5.467
131965	METTL6	methyltransferase 6, methylcytidine	-0.692	2.047
85403	EAF1	ELL associated factor 1	-0.741	3.279
8292	COLQ	collagen like tail subunit of asymmetric acetylcholinesterase	0.922	1.302
285381	DPH3	diphthamide biosynthesis 3	-0.912	2.043
6304	SATB1	SATB homeobox 1	0.686	2.921
131096	KCNH8	potassium voltage-gated channel subfamily H member 8	1.215	1.467
151651	EFHB	EF-hand domain family member B	-0.698	2.261
5868	RAB5A	RAB5A, member RAS oncogene family	-1.051	7.704
151649	PP2D1	protein phosphatase 2C like domain containing 1	-1.033	10.306
151648	SGO1	shugoshin 1	-1.109	5.148
100874028	SGO1-AS1	SGO1 antisense RNA 1	-1.118	3.175
79750	ZNF385D	zinc finger protein 385D	0.872	2.159
101927854	THRB-AS2	THRB antisense RNA 2	-0.841	1.508
5915	RARB	retinoic acid receptor beta	1.195	3.017
8320	EOMES	eomesodermin	-1.161	2.932
27303	RBMS3	RNA binding motif single stranded interacting protein 3	0.78	3.489
23171	GPD1L	glycerol-3-phosphate dehydrogenase 1 like	0.749	7.514
54918	CMTM6	CKLF like MARVEL transmembrane domain containing 6	-0.677	1.662
1233	CCR4	C-C motif chemokine receptor 4	-1.238	2.742
25827	FBXL2	F-box and leucine rich repeat protein 2	0.764	2.839
3680	ITGA9	integrin subunit alpha 9	0.583	3.006
101928153	ITGA9-AS1	ITGA9 antisense RNA 1	0.888	5.104
10217	CTDSPL	CTD small phosphatase like	0.653	4.143
5333	PLCD1	phospholipase C delta 1	-0.713	4.325
4615	MYD88	MYD88 innate immune signal transduction adaptor	-0.932	10.216
93	ACVR2B	activin A receptor type 2B	0.629	1.894
11280	SCN11A	sodium voltage-gated channel alpha subunit 11	1.083	1.968
64651	CSRNP1	cysteine and serine rich nuclear protein 1	-0.917	3.869
25924	MYRIP	myosin VIIA and Rab interacting protein	1.093	5.059
285267	ZNF619	zinc finger protein 619	0.527	2.299
285268	ZNF621	zinc finger protein 621	0.558	1.847
4820	NKTR	natural killer cell triggering receptor	1.008	2.003
92999	ZBTB47	zinc finger and BTB domain containing 47	0.784	2.259
25994	HIGD1A	HIG1 hypoxia inducible domain family member 1A	-1.676	3.578
1238	ACKR2	atypical chemokine receptor 2	-3.15	17.395
389114	ZNF662	zinc finger protein 662	-0.703	3.63
353274	ZNF445	zinc finger protein 445	0.91	5.035
285349	ZNF660	zinc finger protein 660	0.676	1.958
7584	ZNF35	zinc finger protein 35	-0.906	2.677
56992	KIF15	kinesin family member 15	-0.889	4.96
10663	CXCR6	C-X-C motif chemokine receptor 6	-2.403	13.885
1230	CCR1	C-C motif chemokine receptor 1	-1.358	2.716
1234	CCR5	C-C motif chemokine receptor 5	-1.109	4.803
9034	CCRL2	C-C motif chemokine receptor like 2	-1.446	3.477
105377068	LINC02009	long intergenic non-protein coding RNA 2009	-1.359	1.991
4057	LTF	lactotransferrin	-2.501	5.034
79442	LRRC2	leucine rich repeat containing 2	0.794	3.305
5745	PTH1R	parathyroid hormone 1 receptor	0.73	1.7
23276	KLHL18	kelch like family member 18	-0.883	4.527
993	CDC25A	cell division cycle 25A	-1.192	6.885
79714	CCDC51	coiled-coil domain containing 51	-0.533	1.767
1294	COL7A1	collagen type VII alpha 1 chain	1.243	2.228
100313843	MIR711	microRNA 711	1.237	2.237
54681	P4HTM	prolyl 4-hydroxylase, transmembrane	0.722	3.17
3913	LAMB2	laminin subunit beta 2	0.649	2.069
22973	LAMB2P1	laminin subunit beta 2 pseudogene 1	1.071	2.161
339834	IHO1	interactor of HORMAD1 1	0.978	1.788
2876	GPX1	glutathione peroxidase 1	-0.811	1.758
275	AMT	aminomethyltransferase	1.243	1.858
84276	NICN1	nicolin 1, tubulin polyglutamylase complex subunit	0.698	2.989
8927	BSN	bassoon presynaptic cytomatrix protein	1.186	3.157
327	APEH	acylaminoacyl-peptide hydrolase	-0.807	6.264
4485	MST1	macrophage stimulating 1	1.103	1.911
29925	GMPPB	GDP-mannose pyrophosphorylase B	-0.762	6.164
4486	MST1R	macrophage stimulating 1 receptor	1.053	3.219
102724438	LOC102724438		1.077	2.853
84315	MON1A	MON1 homolog A, secretory trafficking associated	-0.54	3.15
100775107	RBM5-AS1	RBM5 antisense RNA 1	0.557	1.506
7869	SEMA3B	semaphorin 3B	1.759	6.481
132228	LSMEM2	leucine rich single-pass membrane protein 2	-0.914	7.894
7866	IFRD2	interferon related developmental regulator 2	-1.2	12.44
8372	HYAL3	hyaluronidase 3	-1.041	4.862
11068	CYB561D2	cytochrome b561 family member D2	-0.567	4.385
9254	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	1.548	14.108
7867	MAPKAPK3	MAPK activated protein kinase 3	-1.214	5.372
7873	MANF	mesencephalic astrocyte derived neurotrophic factor	-1.042	4.251
23132	RAD54L2	RAD54 like 2	0.501	1.496
9136	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	-0.805	6.183
84836	ABHD14B	abhydrolase domain containing 14B	0.506	1.588
25886	POC1A	POC1 centriolar protein A	-1.179	5.549
132158	GLYCTK	glycerate kinase	-0.627	5.417
25981	DNAH1	dynein axonemal heavy chain 1	0.939	1.419
56920	SEMA3G	semaphorin 3G	1.301	2.979
7134	TNNC1	troponin C1, slow skeletal and cardiac type	2.239	4.072
11188	NISCH	nischarin	0.78	2.335
26354	GNL3	G protein nucleolar 3	-1.026	9.587
107986087	LOC107986087	uncharacterized LOC107986087	1.007	1.729
776	CACNA1D	calcium voltage-gated channel subunit alpha1 D	1.195	3.109
55349	CHDH	choline dehydrogenase	1.599	4.169
55540	IL17RB	interleukin 17 receptor B	0.737	1.624
55799	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	-0.71	2.447
7474	WNT5A	Wnt family member 5A	-1.966	11.365
50650	ARHGEF3	Rho guanine nucleotide exchange factor 3	-0.673	6.804
54756	IL17RD	interleukin 17 receptor D	0.761	4.512
378	ARF4	ADP ribosylation factor 4	-0.708	2.263
2317	FLNB	filamin B	0.541	1.443
1776	DNASE1L3	deoxyribonuclease 1 like 3	-1.068	2.176
57406	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	0.828	1.904
8309	ACOX2	acyl-CoA oxidase 2	1.54	1.806
11170	FAM107A	family with sequence similarity 107 member A	0.717	1.5
105377108	FAM3D-AS1	FAM3D antisense RNA 1	-1.565	3.469
131177	FAM3D	FAM3 metabolism regulating signaling molecule D	-1.749	5.263
8618	CADPS	calcium dependent secretion activator	1.5	3.82
9861	PSMD6	proteasome 26S subunit, non-ATPase 6	-0.772	3.083
9223	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	0.946	3.969
26018	LRIG1	leucine rich repeats and immunoglobulin like domains 1	0.839	3.073
84541	KBTBD8	kelch repeat and BTB domain containing 8	-1.277	2.393
4286	MITF	melanocyte inducing transcription factor	0.686	2.252
2850	GPR27	G protein-coupled receptor 27	0.762	2.847
55164	SHQ1	SHQ1, H/ACA ribonucleoprotein assembly factor	-0.696	5.629
727936	GXYLT2	glucoside xylosyltransferase 2	1.11	3.653
23024	PDZRN3	PDZ domain containing ring finger 3	0.608	1.379
100131827	ZNF717	zinc finger protein 717	0.858	3.694
6092	ROBO2	roundabout guidance receptor 2	0.552	1.599
253559	CADM2	cell adhesion molecule 2	1.509	7.485
25978	CHMP2B	charged multivesicular body protein 2B	-0.549	1.341
285237	C3orf38	chromosome 3 open reading frame 38	-0.749	1.634
2838	GPR15	G protein-coupled receptor 15	-3.098	6.354
10402	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	0.605	2.255
131566	DCBLD2	discoidin, CUB and LCCL domain containing 2	0.552	4.302
101929357	HP09053	uncharacterized LOC101929357	-0.724	1.979
84319	CMSS1	cms1 ribosomal small subunit homolog	-0.795	2.255
55773	TBC1D23	TBC1 domain family member 23	-0.534	1.438
55076	TMEM45A	transmembrane protein 45A	-0.889	1.36
10342	TFG	trafficking from ER to golgi regulator	-0.603	6.612
54931	TRMT10C	tRNA methyltransferase 10C, mitochondrial RNase P subunit	-0.693	1.701
105374013	LOC105374013		0.94	2.312
64332	NFKBIZ	NFKB inhibitor zeta	-1.779	8.071
152225	RDUR	RIG-I dependent antiviral response regulator RNA	-1.632	3.226
214	ALCAM	activated leukocyte cell adhesion molecule	0.743	1.554
961	CD47	CD47 molecule	-1.238	11.467
101929623	LINC01215	long intergenic non-protein coding RNA 1215	-3.308	20.544
57650	CIP2A	cellular inhibitor of PP2A	-0.788	5.008
10225	CD96	CD96 molecule	-1.082	2.754
79413	ZBED2	zinc finger BED-type containing 2	-2.099	11.685
257068	PLCXD2	phosphatidylinositol specific phospholipase C X domain containing 2	-2.253	3.599
257144	GCSAM	germinal center associated signaling and motility	0.635	2.135
285335	SLC9C1	solute carrier family 9 member C1	2.195	6.372
64422	ATG3	autophagy related 3	-0.673	1.801
112268447	LOC112268447		0.855	2.259
100506621	LINC01279	replaced by ID 151887	0.862	2.325
151887	CCDC80	coiled-coil domain containing 80	0.859	2.767
91653	BOC	BOC cell adhesion associated, oncogene regulated	1.022	4.811
55779	CFAP44	cilia and flagella associated protein 44	1.142	2.857
57577	CCDC191	coiled-coil domain containing 191	0.787	2.236
26137	ZBTB20	zinc finger and BTB domain containing 20	1.238	6.538
4045	LSAMP	limbic system associated membrane protein	0.87	5.533
152404	IGSF11	immunoglobulin superfamily member 11	1.602	9.4
51300	TIMMDC1	translocase of inner mitochondrial membrane domain containing 1	-0.732	2.31
941	CD80	CD80 molecule	-3.162	7.645
64091	POPDC2	popeye domain containing 2	0.733	2.969
89876	CFAP91	cilia and flagella associated protein 91	1.275	1.398
107986119	GSK3B-DT	GSK3B divergent transcript	1.511	3.818
2960	GTF2E1	general transcription factor IIE subunit 1	-0.625	2.484
10721	POLQ	DNA polymerase theta	-0.622	1.923
3059	HCLS1	hematopoietic cell-specific Lyn substrate 1	-0.811	3.368
2804	GOLGB1	golgin B1	0.595	2.072
6565	SLC15A2	solute carrier family 15 member 2	1.118	2.609
286676	ILDR1	immunoglobulin like domain containing receptor 1	1.121	2.123
1475	CSTA	cystatin A	-1.792	3.413
131076	MIX23	mitochondrial matrix import factor 23	-0.861	1.856
26355	FAM162A	family with sequence similarity 162 member A	-1.255	3.021
105374071	LOC105374071	uncharacterized LOC105374071	-0.978	3.197
83666	PARP9	poly(ADP-ribose) polymerase family member 9	-2.153	26.572
151636	DTX3L	deltex E3 ubiquitin ligase 3L	-1.156	7.842
54625	PARP14	poly(ADP-ribose) polymerase family member 14	-1.117	3.999
100129550	LINC02035	long intergenic non-protein coding RNA 2035	0.964	3.715
111	ADCY5	adenylate cyclase 5	1.102	2.705
100506826	MYLK-AS1	MYLK antisense RNA 1	0.638	2.886
4638	MYLK	myosin light chain kinase	0.899	2.455
105369194	LOC105369194	uncharacterized LOC105369194	0.66	2.448
54763	ROPN1	rhophilin associated tail protein 1	1.346	3.242
7372	UMPS	uridine monophosphate synthetase	-0.587	2.702
102723696	LOC102723696	uncharacterized LOC102723696	0.988	1.851
152015	ROPN1B	rhophilin associated tail protein 1B	1.203	2.616
10840	ALDH1L1	aldehyde dehydrogenase 1 family member L1	2.629	3.775
100874204	ALDH1L1-AS1	ALDH1L1 antisense RNA 1	2.566	4.156
28999	KLF15	KLF transcription factor 15	1.765	5.15
4171	MCM2	minichromosome maintenance complex component 2	-0.752	3.052
107986126	LOC107986126	uncharacterized LOC107986126	-0.657	3.287
8607	RUVBL1	RuvB like AAA ATPase 1	-0.901	11.628
6184	RPN1	ribophorin I	-0.507	1.799
7879	RAB7A	RAB7A, member RAS oncogene family	-0.521	3.837
79825	EFCC1	EF-hand and coiled-coil domain containing 1	0.767	5.109
339942	H1-10-AS1	H1-10 antisense RNA 1	0.653	1.848
132241	RPL32P3	ribosomal protein L32 pseudogene 3	0.912	2.721
55764	IFT122	intraflagellar transport 122	0.729	5.019
100507032	TMCC1-DT	TMCC1 divergent transcript	0.673	1.436
729375	FAM86HP	family with sequence similarity 86, member A pseudogene	0.694	1.578
105374103	LOC105374103		-1.319	1.681
131873	COL6A6	collagen type VI alpha 6 chain	-1.739	3.92
11222	MRPL3	mitochondrial ribosomal protein L3	-0.681	1.97
105374114	LOC105374114	uncharacterized LOC105374114	-0.794	2.264
131034	CPNE4	copine 4	1.364	2.006
55	ACP3	acid phosphatase 3	-1.933	6.492
100532724	NPHP3-ACAD11	NPHP3-ACAD11 readthrough (NMD candidate)	0.818	1.767
84129	ACAD11	acyl-CoA dehydrogenase family member 11	0.751	1.588
27031	NPHP3	nephrocystin 3	0.906	1.865
66000	TMEM108	transmembrane protein 108	1.188	3.23
7018	TF	transferrin	1.779	2.371
58477	SRPRB	SRP receptor subunit beta	-0.924	2.621
2047	EPHB1	EPH receptor B1	0.986	5.737
339855	KY	kyphoscoliosis peptidase	0.664	1.817
199221	DZIP1L	DAZ interacting zinc finger protein 1 like	1.325	3.271
22808	MRAS	muscle RAS oncogene homolog	0.842	2.941
83850	ESYT3	extended synaptotagmin 3	-1.206	4.258
55179	FAIM	Fas apoptotic inhibitory molecule	-0.627	2.287
401089	FOXL2NB	FOXL2 neighbor	2.713	10.421
56945	MRPS22	mitochondrial ribosomal protein S22	-0.679	1.717
64084	CLSTN2	calsyntenin 2	1.203	2.609
55186	SLC25A36	solute carrier family 25 member 36	0.516	3.432
9616	RNF7	ring finger protein 7	-0.727	1.345
483	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	-0.988	5.77
7029	TFDP2	transcription factor Dp-2	0.624	4.68
7220	TRPC1	transient receptor potential cation channel subfamily C member 1	1.046	4.013
5352	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	-0.681	3.481
5359	PLSCR1	phospholipid scramblase 1	-1.47	10.412
185	AGTR1	angiotensin II receptor type 1	0.667	1.522
2992	GYG1	glycogenin 1	-0.709	1.901
100874091	TM4SF1-AS1	TM4SF1 antisense RNA 1	0.949	1.844
653659	TMEM183BP	transmembrane protein 183B, pseudogene	-0.797	1.468
101928022	LINC01214	long intergenic non-protein coding RNA 1214	-1.913	3.176
107986141	LOC107986141	uncharacterized LOC107986141	-1.8	3.309
27230	SERP1	stress associated endoplasmic reticulum protein 1	-0.624	1.356
51714	SELENOT	selenoprotein T	-0.909	1.585
29909	GPR171	G protein-coupled receptor 171	-0.86	1.51
53836	GPR87	G protein-coupled receptor 87	-0.896	1.611
285313	IGSF10	immunoglobulin superfamily member 10	1.402	4.007
105374162	LOC105374162		1.257	2.515
5028	P2RY1	purinergic receptor P2Y1	-1.015	6.297
5912	RAP2B	RAP2B, member of RAS oncogene family	-0.709	4.687
26084	ARHGEF26	Rho guanine nucleotide exchange factor 26	1.212	6.646
23007	PLCH1	phospholipase C eta 1	1.024	1.552
730091	LINC00886	long intergenic non-protein coding RNA 886	1.333	3.903
79674	VEPH1	ventricular zone expressed PH domain containing 1	0.86	2.516
6474	SHOX2	short stature homeobox 2	0.78	2.521
401097	C3orf80	chromosome 3 open reading frame 80	2.08	3.119
286827	TRIM59	tripartite motif containing 59	-0.821	3.655
151742	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L	0.537	1.673
105374187	LOC105374187	uncharacterized LOC105374187	1.366	2.923
11235	PDCD10	programmed cell death 10	-0.746	1.434
2122	MECOM	MDS1 and EVI1 complex locus	-0.912	3.088
84517	ACTRT3	actin related protein T3	-0.791	2.606
5584	PRKCI	protein kinase C iota	-0.616	3.495
6498	SKIL	SKI like proto-oncogene	-0.78	6.118
200916	RPL22L1	ribosomal protein L22 like 1	-0.929	1.527
8743	TNFSF10	TNF superfamily member 10	-1.239	5.704
1894	ECT2	epithelial cell transforming 2	-1.086	7.775
22871	NLGN1	neuroligin 1	0.976	5.692
254827	NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2	1.101	2.996
55669	MFN1	mitofusin 1	-0.769	6.684
86	ACTL6A	actin like 6A	-0.71	2.163
57129	MRPL47	mitochondrial ribosomal protein L47	-0.732	1.78
8975	USP13	ubiquitin specific peptidase 13	0.724	4.966
151613	TTC14	tetratricopeptide repeat domain 14	0.504	1.325
339829	CCDC39	coiled-coil domain containing 39	0.917	1.362
102724617	LINC02031	long intergenic non-protein coding RNA 2031	-1.783	2.408
23200	ATP11B	ATPase phospholipid transporting 11B (putative)	-0.684	3.629
27074	LAMP3	lysosomal associated membrane protein 3	-1.825	8.071
23101	MCF2L2	MCF.2 cell line derived transforming sequence-like 2	-0.965	7.22
84002	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	-1.212	8.409
107986160	LOC107986160	uncharacterized LOC107986160	-0.567	1.47
89857	KLHL6	kelch like family member 6	-0.871	2.405
