GeneID	Symbol	Description	log2(fold change)(Non-lesion-PsA vs lesion-PsA)	-log10(Pvalue)(Non-lesion-PsA vs lesion-PsA)
80144	FRAS1	Fraser extracellular matrix complex subunit 1	0.766	2.468
100505702	LINC01094	long intergenic non-protein coding RNA 1094	-1.686	7.207
107986294	LOC107986294	uncharacterized LOC107986294	1.219	4.05
105377302	LOC105377302	uncharacterized LOC105377302	0.775	1.474
118429	ANTXR2	ANTXR cell adhesion molecule 2	0.556	3.047
56978	PRDM8	PR/SET domain 8	0.587	2.297
651	BMP3	bone morphogenetic protein 3	1.136	1.913
107986215	LOC107986215	replaced by ID 153020	-0.779	1.463
79966	SCD5	stearoyl-CoA desaturase 5	0.976	13.344
132660	LIN54	lin-54 DREAM MuvB core complex component	-0.526	7.947
51138	COPS4	COP9 signalosome subunit 4	-0.54	1.898
51316	PLAC8	placenta associated 8	-2.541	10.115
27235	COQ2	coenzyme Q2, polyprenyltransferase	-0.836	5.086
10855	HPSE	heparanase	-2.94	19.815
51023	MRPS18C	mitochondrial ribosomal protein S18C	-0.553	1.619
84803	GPAT3	glycerol-3-phosphate acyltransferase 3	-1.116	6.814
345274	SLC10A6	solute carrier family 10 member 6	-1.157	7.996
4299	AFF1	ALF transcription elongation factor 1	0.518	1.946
345275	HSD17B13	hydroxysteroid 17-beta dehydrogenase 13	2.198	4.216
5311	PKD2	polycystin 2, transient receptor potential cation channel	0.616	3.754
152926	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	1.108	2.999
55008	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	-2.807	21.31
102723458	LOC102723458	uncharacterized LOC102723458	-2.472	19.949
51191	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	-0.801	3.704
285512	FAM13A-AS1	FAM13A antisense RNA 1	0.669	2.211
10144	FAM13A	family with sequence similarity 13 member A	0.606	5.232
285513	GPRIN3	GPRIN family member 3	-0.645	2.606
105377329	LOC105377329	uncharacterized LOC105377329	1.954	5.6
658	BMPR1B	bone morphogenetic protein receptor type 1B	0.826	2.735
8633	UNC5C	unc-5 netrin receptor C	1.571	3.745
1977	EIF4E	eukaryotic translation initiation factor 4E	-1.058	6.76
23173	METAP1	methionyl aminopeptidase 1	-0.894	8.743
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	-0.567	1.603
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	1.063	1.779
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	1.122	1.503
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	-2.978	14.538
93587	TRMT10A	tRNA methyltransferase 10A	-0.613	2.86
27071	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	-0.792	6.222
3015	H2AZ1	H2A.Z variant histone 1	-1.12	5.371
55024	BANK1	B cell scaffold protein with ankyrin repeats 1	-0.72	5.055
4790	NFKB1	nuclear factor kappa B subunit 1	-0.53	3.336
102723704	LOC102723704	uncharacterized LOC102723704	-0.831	3.958
7323	UBE2D3	ubiquitin conjugating enzyme E2 D3	-0.699	3.815
493856	CISD2	CDGSH iron sulfur domain 2	-0.552	2.214
150159	SLC9B1	solute carrier family 9 member B1	-0.728	2.414
1062	CENPE	centromere protein E	-1.212	8.793
80319	CXXC4	CXXC finger protein 4	1.026	1.676
54848	ARHGEF38	Rho guanine nucleotide exchange factor 38	1.307	2.048
27123	DKK2	dickkopf WNT signaling pathway inhibitor 2	0.834	2.642
58505	OSTC	oligosaccharyltransferase complex non-catalytic subunit	-0.945	2.506
55013	MCUB	mitochondrial calcium uniporter dominant negative subunit beta	-1.254	9.183
1950	EGF	epidermal growth factor	1.762	6.485
5308	PITX2	paired like homeodomain 2	1.21	2.081
287	ANK2	ankyrin 2	0.561	2.072
7368	UGT8	UDP glycosyltransferase 8	0.791	1.897
133022	TRAM1L1	translocation associated membrane protein 1 like 1	0.591	1.697
171024	SYNPO2	synaptopodin 2	0.797	2.068
401149	LINC01061	long intergenic non-protein coding RNA 1061	0.71	1.547
107983979	LOC107983979		0.659	1.312
4085	MAD2L1	mitotic arrest deficient 2 like 1	-1.667	9.304
79625	NDNF	neuron derived neurotrophic factor	1.343	7.847
79931	TNIP3	TNFAIP3 interacting protein 3	-6.334	36.799
890	CCNA2	cyclin A2	-1.642	16.377
84162	BLTP1	bridge-like lipid transfer protein family member 1	0.551	1.533
57182	ANKRD50	ankyrin repeat domain containing 50	0.717	4.198
22824	HSPA4L	heat shock protein family A (Hsp70) member 4 like	-0.643	6.696
10733	PLK4	polo like kinase 4	-0.854	11.316
10424	PGRMC2	progesterone receptor membrane component 2	0.508	2.723
79960	JADE1	jade family PHD finger 1	0.976	6.869
132321	C4orf33	chromosome 4 open reading frame 33	-0.589	1.682
23657	SLC7A11	solute carrier family 7 member 11	-2.768	17.425
25819	NOCT	nocturnin	-1.034	4.136
80155	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	-0.78	10.492
105377622	LOC105377622	uncharacterized LOC105377622	-0.741	1.464
101927490	QKILA	QKI interacting lncRNA	-1.133	1.851
60592	SCOC	short coiled-coil protein	-0.561	1.513
1047	CLGN	calmegin	1.443	3.768
57484	RNF150	ring finger protein 150	0.832	4.668
3600	IL15	interleukin 15	-0.828	3.265
84640	USP38	ubiquitin specific peptidase 38	-0.665	3.897
2996	GYPE	glycophorin E (MNS blood group)	0.612	1.807
6059	ABCE1	ATP binding cassette subfamily E member 1	-0.706	6.749
11157	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	-0.51	1.649
84068	SLC10A7	solute carrier family 10 member 7	-0.512	3.556
4306	NR3C2	nuclear receptor subfamily 3 group C member 2	1.21	9.02
107986195	LOC107986195	uncharacterized LOC107986195	1.487	1.604
166614	DCLK2	doublecortin like kinase 2	0.765	3.923
105377485	LOC105377485	uncharacterized LOC105377485	1.128	2.366
105377486	FHIP1A-DT	FHIP1A divergent transcript	0.655	2.524
5188	GATB	glutamyl-tRNA amidotransferase subunit B	-1.063	6.284
100996286	LINC02273	long intergenic non-protein coding RNA 2273	-1.473	3.518
201799	TMEM154	transmembrane protein 154	-0.796	5.861
85462	FHDC1	FH2 domain containing 1	-0.568	2.779
23321	TRIM2	tripartite motif containing 2	1.127	12.332
84057	MND1	meiotic nuclear divisions 1	-1.318	6.771
54798	DCHS2	dachsous cadherin-related 2	1.028	3.129
5356	PLRG1	pleiotropic regulator 1	-0.589	5.241
6999	TDO2	tryptophan 2,3-dioxygenase	-3.12	11.248
56034	PDGFC	platelet derived growth factor C	0.802	5.518
2743	GLRB	glycine receptor beta	1.433	10.006
2891	GRIA2	glutamate ionotropic receptor AMPA type subunit 2	1.757	2.369
201725	C4orf46	chromosome 4 open reading frame 46	-0.695	3.615
9693	RAPGEF2	Rap guanine nucleotide exchange factor 2	0.618	2.724
4886	NPY1R	neuropeptide Y receptor Y1	0.847	2.517
4889	NPY5R	neuropeptide Y receptor Y5	1.371	3.637
100506013	APELA	apelin receptor early endogenous ligand	-1.587	5.106
6307	MSMO1	methylsterol monooxygenase 1	1.543	3.011
1363	CPE	carboxypeptidase E	0.676	2.36
7092	TLL1	tolloid like 1	1.173	11.125
55601	DDX60	DExD/H-box helicase 60	-1.326	6.5
91351	DDX60L	DExD/H-box 60 like	-1.278	7.109
57630	SH3RF1	SH3 domain containing ring finger 1	0.598	4.721
9848	MFAP3L	microfibril associated protein 3 like	0.882	3.668
3148	HMGB2	high mobility group box 2	-0.574	4.375
101928383	LOC101928383		0.629	1.444
3248	HPGD	15-hydroxyprostaglandin dehydrogenase	-0.814	1.566
2823	GPM6A	glycoprotein M6A	1.229	3.024
116966	WDR17	WD repeat domain 17	1.012	3.382
60559	SPCS3	signal peptidase complex subunit 3	-0.684	3.364
55247	NEIL3	nei like DNA glycosylase 3	-1.133	4.487
55602	CDKN2AIP	CDKN2A interacting protein	-0.56	3.579
201965	RWDD4	RWD domain containing 4	-0.526	3.406
836	CASP3	caspase 3	-0.658	4.069
79682	CENPU	centromere protein U	-0.644	1.343
2180	ACSL1	acyl-CoA synthetase long chain family member 1	1.682	4.288
107986333	LINC02437	long intergenic non-protein coding RNA 2437	1.278	3.304
83891	SNX25	sorting nexin 25	0.656	4.507
8470	SORBS2	sorbin and SH3 domain containing 2	1.025	5.332
25854	FAM149A	family with sequence similarity 149 member A	0.802	3.316
2483	FRG1	FSHD region gene 1	-0.624	2.196
133957	CCDC127	coiled-coil domain containing 127	0.522	5.637
6389	SDHA	succinate dehydrogenase complex flavoprotein subunit A	0.546	3.633
10016	PDCD6	programmed cell death 6	-0.734	4.738
11336	EXOC3	exocyst complex component 3	-0.574	10.201
11076	TPPP	tubulin polymerization promoting protein	2.344	13.614
653082	ZDHHC11B	zinc finger DHHC-type containing 11B	1.963	3.908
79844	ZDHHC11	zinc finger DHHC-type containing 11	0.816	2.36
9319	TRIP13	thyroid hormone receptor interactor 13	-1.282	11.121
85409	NKD2	NKD inhibitor of WNT signaling pathway 2	0.592	2.21
10723	SLC12A7	solute carrier family 12 member 7	0.737	2.523
79888	LPCAT1	lysophosphatidylcholine acyltransferase 1	-0.573	3.46
64979	MRPL36	mitochondrial ribosomal protein L36	-0.807	3.075
153571	IRX2-DT	IRX2 divergent transcript	0.551	2.739
79192	IRX1	iroquois homeobox 1	1.426	13.347
134111	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1	1.599	3.273
255167	LINC01018	long intergenic non-protein coding RNA 1018	1.8	1.612
6715	SRD5A1	steroid 5 alpha-reductase 1	1.311	2.511
11044	TENT4A	terminal nucleotidyltransferase 4A	0.596	1.407
108	ADCY2	adenylate cyclase 2	1.095	6.728
4552	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	-0.627	4.083
79072	FASTKD3	FAST kinase domains 3	-0.605	3.164
9037	SEMA5A	semaphorin 5A	0.664	3.046
22948	CCT5	chaperonin containing TCP1 subunit 5	-0.979	8.215
651746	ANKRD33B	ankyrin repeat domain 33B	1.866	8.542
7204	TRIO	trio Rho guanine nucleotide exchange factor	0.503	1.645
56172	ANKH	ANKH inorganic pyrophosphate transport regulator	0.944	9.811
100130744	LOC100130744	uncharacterized LOC100130744	0.528	3.477
23194	FBXL7	F-box and leucine rich repeat protein 7	0.532	1.42
54463	RETREG1	reticulophagy regulator 1	1.425	7.075
10409	BASP1	brain abundant membrane attached signal protein 1	-0.642	3.223
1010	CDH12	cadherin 12	2.089	10.904
1008	CDH10	cadherin 10	1.616	3.041
23037	PDZD2	PDZ domain containing 2	0.862	4.141
105374711	LOC105374711	uncharacterized LOC105374711	0.807	2.311
10923	SUB1	SUB1 regulator of transcription	-1.25	5.966
4883	NPR3	natriuretic peptide receptor 3	-0.64	3.624
6897	TARS1	threonyl-tRNA synthetase 1	-0.708	4.52
81792	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	-0.539	1.721
23600	AMACR	alpha-methylacyl-CoA racemase	0.786	3.881
100534612	C1QTNF3-AMACR	C1QTNF3-AMACR readthrough (NMD candidate)	0.62	2.52
26064	RAI14	retinoic acid induced 14	1.237	11.297
55299	BRIX1	biogenesis of ribosomes BRX1	-0.577	3.347
5618	PRLR	prolactin receptor	1.433	9.888
3575	IL7R	interleukin 7 receptor	-1.489	5.061
167127	UGT3A2	UDP glycosyltransferase family 3 member A2	4.757	22.798
6502	SKP2	S-phase kinase associated protein 2	-0.569	8.704
202151	RANBP3L	RAN binding protein 3 like	1.095	3.132
55100	WDR70	WD repeat domain 70	-0.502	2.575
2668	GDNF	glial cell derived neurotrophic factor	1.104	2.596
3977	LIFR	LIF receptor subunit alpha	1.054	6.151
100506495	LIFR-AS1	LIFR antisense RNA 1	0.931	5.392
101929768	OSMR-DT	OSMR divergent transcript	-1.195	3.39
9180	OSMR	oncostatin M receptor	-0.696	4.273
2533	FYB1	FYN binding protein 1	-0.572	2.192
84674	CARD6	caspase recruitment domain family member 6	-1.488	11.6
345557	PLCXD3	phosphatidylinositol specific phospholipase C X domain containing 3	1.089	2.192
26272	FBXO4	F-box protein 4	-0.575	3.268
389289	ANXA2R	annexin A2 receptor	-0.655	2.782
167359	NIM1K	NIM1 serine/threonine protein kinase	1.053	5.744
3157	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	1.43	2.254
64417	TMEM267	transmembrane protein 267	-0.542	1.811
100506674	MRPS30-DT	MRPS30 divergent transcript	1.605	6.428
3670	ISL1	ISL LIM homeobox 1	-0.985	1.931
10468	FST	follistatin	0.977	5.844
3003	GZMK	granzyme K	-1.505	4.264
3001	GZMA	granzyme A	-1.893	7.89
133396	IL31RA	interleukin 31 receptor A	0.956	1.725
10769	PLK2	polo like kinase 2	-1.26	14.296
25859	PART1	prostate androgen-regulated transcript 1	-0.748	2.083
55789	DEPDC1B	DEP domain containing 1B	-2.319	17.787
79993	ELOVL7	ELOVL fatty acid elongase 7	-1.486	8.266
91942	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	-0.939	3.371
57688	ZSWIM6	zinc finger SWIM-type containing 6	-0.543	2.466
27292	DIMT1	DIM1 rRNA methyltransferase and ribosome maturation factor	-0.832	9.849
285671	RNF180	ring finger protein 180	0.735	6.184
401190	RGS7BP	regulator of G protein signaling 7 binding protein	1.224	1.629
285672	SREK1IP1	SREK1 interacting protein 1	-0.731	2.513
64105	CENPK	centromere protein K	-1.587	12.031
80006	TRAPPC13	trafficking protein particle complex subunit 13	-0.574	2.426
112441434	SHLD3	shieldin complex subunit 3	-0.921	3.446
5295	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	0.899	9.868
891	CCNB1	cyclin B1	-2.139	15.315
64946	CENPH	centromere protein H	-0.53	3.673
1022	CDK7	cyclin dependent kinase 7	-0.738	4.505
6880	TAF9	TATA-box binding protein associated factor 9	-0.742	2.845
105369228	LOC105369228	uncharacterized LOC105369228	1.07	1.421
112267941	LOC112267941		0.826	1.733
105379028	LOC105379028	uncharacterized LOC105379028	1.149	2.273
4131	MAP1B	microtubule associated protein 1B	1.26	7.501
134285	TMEM171	transmembrane protein 171	-1.764	6.388
105379031	LOC105379031	uncharacterized LOC105379031	-1.36	3.425
2297	FOXD1	forkhead box D1	1.256	6.622
689	BTF3	basic transcription factor 3	-0.571	1.886
64283	ARHGEF28	Rho guanine nucleotide exchange factor 28	0.738	4.712
8507	ENC1	ectodermal-neural cortex 1	0.86	2.761
26049	FAM169A	family with sequence similarity 169 member A	-0.552	3.023
51301	GCNT4	glucosaminyl (N-acetyl) transferase 4	-1.341	4.072
256006	ANKRD31	ankyrin repeat domain 31	-2.352	13.639
728780	ANKDD1B	ankyrin repeat and death domain containing 1B	1.073	1.618
84327	ZBED3	zinc finger BED-type containing 3	1.029	3.624
728723	ZBED3-AS1	ZBED3 antisense RNA 1	1.231	1.448
8622	PDE8B	phosphodiesterase 8B	0.535	2.127
6902	TBCA	tubulin folding cofactor A	-0.576	1.946
29958	DMGDH	dimethylglycine dehydrogenase	0.676	1.944
23743	BHMT2	betaine--homocysteine S-methyltransferase 2	0.646	1.735
133746	JMY	junction mediating and regulatory protein, p53 cofactor	-0.678	3.355
9456	HOMER1	homer scaffold protein 1	-0.831	5.805
202333	CMYA5	cardiomyopathy associated 5	1.46	3.358
441089	CRSP8P	mediator complex subunit 27 pseudogene	-0.822	3.096
167555	FAM151B	family with sequence similarity 151 member B	-0.808	2.786
1719	DHFR	dihydrofolate reductase	-0.775	6.884
1160	CKMT2	creatine kinase, mitochondrial 2	0.726	4.378
84240	ZCCHC9	zinc finger CCHC-type containing 9	-0.964	3.94
7518	XRCC4	X-ray repair cross complementing 4	-0.691	2.841
1404	HAPLN1	hyaluronan and proteoglycan link protein 1	0.996	1.315
10085	EDIL3	EGF like repeats and discoidin domains 3	1.153	8.113
644285	LOC644285	uncharacterized LOC644285	1.491	2.549
101929423	MEF2C-AS1	MEF2C antisense RNA 1	0.761	1.873
1070	CETN3	centrin 3	-0.642	1.847
10622	POLR3G	RNA polymerase III subunit G	-2.178	26.819
84059	ADGRV1	adhesion G protein-coupled receptor V1	1.757	7.774
100505994	LUCAT1	lung cancer associated transcript 1	-2.433	7.562
57561	ARRDC3	arrestin domain containing 3	-0.649	2.451
7025	NR2F1	nuclear receptor subfamily 2 group F member 1	0.767	2.927
83890	SPATA9	spermatogenesis associated 9	0.683	3.553
22836	RHOBTB3	Rho related BTB domain containing 3	0.928	11.482
102724720	LOC102724720	uncharacterized LOC102724720	0.778	1.514
22936	ELL2	elongation factor for RNA polymerase II 2	-0.91	6.568
5122	PCSK1	proprotein convertase subtilisin/kexin type 1	-0.988	2.597
285704	RGMB	repulsive guidance molecule BMP co-receptor b	1.006	11.054
503569	RGMB-AS1	RGMB antisense RNA 1	1.498	7.505
7903	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	-1.063	9.052
353189	SLCO4C1	solute carrier organic anion transporter family member 4C1	2.177	1.713
5066	PAM	peptidylglycine alpha-amidating monooxygenase	0.609	3.942
91137	SLC25A46	solute carrier family 25 member 46	-0.501	2.061
85480	TSLP	thymic stromal lymphopoietin	-0.91	2.481
814	CAMK4	calcium/calmodulin dependent protein kinase IV	-0.706	2.91
134429	STARD4	StAR related lipid transfer domain containing 4	-0.667	1.464
9315	NREP	neuronal regeneration related protein	-0.583	2.093
54508	EPB41L4A-DT	EPB41L4A divergent transcript	-1.357	7.358
6728	SRP19	signal recognition particle 19	-0.723	4.039
4163	MCC	MCC regulator of WNT signaling pathway	0.592	2.548
206338	LVRN	laeverin	0.918	1.499
51397	COMMD10	COMM domain containing 10	-0.855	2.502
57556	SEMA6A	semaphorin 6A	0.604	2.055
25816	TNFAIP8	TNF alpha induced protein 8	-0.81	5.326
4015	LOX	lysyl oxidase	0.828	3.79
9627	SNCAIP	synuclein alpha interacting protein	0.576	2.613
5480	PPIC	peptidylprolyl isomerase C	-0.521	1.515
105379152	PRDM6-AS1	PRDM6 antisense RNA 1	0.741	1.318
93166	PRDM6	PR/SET domain 6	1.281	3.735
57507	ZNF608	zinc finger protein 608	0.738	4.488
101927421	LOC101927421	uncharacterized LOC101927421	2.808	2.134
501	ALDH7A1	aldehyde dehydrogenase 7 family member A1	-0.689	5.889
4001	LMNB1	lamin B1	-1.126	5.559
105379163	LOC105379163	uncharacterized LOC105379163	1.091	3.15
84466	MEGF10	multiple EGF like domains 10	1.51	11.052
6558	SLC12A2	solute carrier family 12 member 2	1.231	2.703
2201	FBN2	fibrillin 2	-1.396	2.958
51015	ISOC1	isochorismatase domain containing 1	0.74	2.506
3094	HINT1	histidine triad nucleotide binding protein 1	-0.747	1.869
8572	PDLIM4	PDZ and LIM domain 4	1.07	13.311
553103	MIR3936HG	MIR3936 host gene	0.795	2.593
441108	IRF1-AS1	IRF1 antisense RNA 1	-0.569	1.652
3659	IRF1	interferon regulatory factor 1	-1.632	14.476
645121	CCNI2	cyclin I family member 2	0.664	3.498
134548	SOWAHA	sosondowah ankyrin repeat domain family member A	1.017	2.437
2661	GDF9	growth differentiation factor 9	-0.781	1.83
27089	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	-0.752	1.78
54819	ZCCHC10	zinc finger CCHC-type containing 10	-0.656	2.083
3308	HSPA4	heat shock protein family A (Hsp70) member 4	-0.583	3.401
105379181	CTB-49A3.2	uncharacterized CTB-49A3.2	-1.531	4.341
5515	PPP2CA	protein phosphatase 2 catalytic subunit alpha	-0.863	4.865
100500905	MIR3661	microRNA 3661	-0.947	4.666
23338	JADE2	jade family PHD finger 2	0.577	3.559
100996485	PITX1-AS1	PITX1 antisense RNA 1	-1.025	12.245
9555	MACROH2A1	macroH2A.1 histone	-0.969	10.846
497189	TIFAB	TIFA inhibitor	-0.721	1.977
105379189	LOC105379189	uncharacterized LOC105379189	0.626	1.594
7045	TGFBI	transforming growth factor beta induced	0.582	2.647
26249	KLHL3	kelch like family member 3	0.522	1.588
9499	MYOT	myotilin	1.253	6.634
10112	KIF20A	kinesin family member 20A	-1.675	12.944
2676	GFRA3	GDNF family receptor alpha 3	1.421	7.848
995	CDC25C	cell division cycle 25C	-1.012	8.041
51308	REEP2	receptor accessory protein 2	0.657	1.765
2107	ETF1	eukaryotic translation termination factor 1	-0.514	4.142
389333	PROB1	proline rich basic protein 1	-1.202	6.214
202051	SPATA24	spermatogenesis associated 24	-1.304	11.423
100505636	MALINC1	mitosis associated long intergenic non-coding RNA 1	0.732	4.453
492311	IGIP	IgA inducing protein	0.749	4.798
10011	SRA1	steroid receptor RNA activator 1	-0.896	6.03
55374	TMCO6	transmembrane and coiled-coil domains 6	-0.509	1.435
56133	PCDHB2	protocadherin beta 2	0.973	5.332
56132	PCDHB3	protocadherin beta 3	1.266	4.727
56131	PCDHB4	protocadherin beta 4	0.887	3.394
26167	PCDHB5	protocadherin beta 5	1.388	4.667
56130	PCDHB6	protocadherin beta 6	0.895	2.294
56129	PCDHB7	protocadherin beta 7	0.874	2.708
56128	PCDHB8	protocadherin beta 8	1.136	1.856
57717	PCDHB16	protocadherin beta 16	1.042	5.185
56127	PCDHB9	protocadherin beta 9	0.999	3.655
56126	PCDHB10	protocadherin beta 10	0.874	2.914
56125	PCDHB11	protocadherin beta 11	1.319	3.115
56124	PCDHB12	protocadherin beta 12	0.713	2.379
56123	PCDHB13	protocadherin beta 13	0.628	1.971
56122	PCDHB14	protocadherin beta 14	0.569	2.025
56114	PCDHGA1	protocadherin gamma subfamily A, 1	0.562	3.757
56113	PCDHGA2	protocadherin gamma subfamily A, 2	0.763	5.081
56112	PCDHGA3	protocadherin gamma subfamily A, 3	0.661	4.756
56104	PCDHGB1	protocadherin gamma subfamily B, 1	0.62	4.7
56111	PCDHGA4	protocadherin gamma subfamily A, 4	0.696	5.115
56103	PCDHGB2	protocadherin gamma subfamily B, 2	0.676	5.245
56110	PCDHGA5	protocadherin gamma subfamily A, 5	0.675	5.245
56102	PCDHGB3	protocadherin gamma subfamily B, 3	0.681	5.715
56109	PCDHGA6	protocadherin gamma subfamily A, 6	0.677	3.624
56108	PCDHGA7	protocadherin gamma subfamily A, 7	0.651	5.441
8641	PCDHGB4	protocadherin gamma subfamily B, 4	0.7	5.886
9708	PCDHGA8	protocadherin gamma subfamily A, 8	0.527	4.38
56101	PCDHGB5	protocadherin gamma subfamily B, 5	0.748	6.554
56107	PCDHGA9	protocadherin gamma subfamily A, 9	0.566	3.265
56100	PCDHGB6	protocadherin gamma subfamily B, 6	0.543	3.239
56099	PCDHGB7	protocadherin gamma subfamily B, 7	0.716	4.747
26025	PCDHGA12	protocadherin gamma subfamily A, 12	0.504	2.781
56098	PCDHGC4	protocadherin gamma subfamily C, 4	0.562	3.902
56097	PCDHGC5	protocadherin gamma subfamily C, 5	0.557	4.138
285613	RELL2	RELT like 2	-1.608	15.337
89848	FCHSD1	FCH and double SH3 domains 1	-2.542	18.793
5097	PCDH1	protocadherin 1	0.574	2.156
51294	PCDH12	protocadherin 12	0.709	2.765
2246	FGF1	fibroblast growth factor 1	0.898	2.869
643226	GRXCR2	glutaredoxin and cysteine rich domain containing 2	1.969	3.769
5521	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	0.617	2.208
105378217	STK32A-AS1	STK32A antisense RNA 1	0.983	2.497
202374	STK32A	serine/threonine kinase 32A	1.066	6.825
1809	DPYSL3	dihydropyrimidinase like 3	1.066	5.662
389336	C5orf46	chromosome 5 open reading frame 46	1.887	10.395
84651	SPINK7	serine peptidase inhibitor Kazal type 7	-1.654	2.391
154	ADRB2	adrenoceptor beta 2	1.154	7.072
79628	SH3TC2	SH3 domain and tetratricopeptide repeats 2	1.183	6.167
22885	ABLIM3	actin binding LIM protein family member 3	0.7	5.576
134265	AFAP1L1	actin filament associated protein 1 like 1	0.621	2.096
134266	GRPEL2	GrpE like 2, mitochondrial	-0.6	2.783
106144529	GRPEL2-AS1	GRPEL2 antisense RNA 1	-0.582	1.308
1452	CSNK1A1	casein kinase 1 alpha 1	-0.939	9.637
5145	PDE6A	phosphodiesterase 6A	4.984	7.611
1836	SLC26A2	solute carrier family 26 member 2	1.266	5.598
102546298	NDST1-AS1	NDST1 antisense RNA 1	0.856	2.294
85027	SMIM3	small integral membrane protein 3	-0.602	2.175
2878	GPX3	glutathione peroxidase 3	0.649	1.63
10318	TNIP1	TNFAIP3 interacting protein 1	-0.573	4.487
105378230	LOC105378230	uncharacterized LOC105378230	-1.133	5.643
2760	GM2A	ganglioside GM2 activator	-1.553	12.048
475	ATOX1	antioxidant 1 copper chaperone	-1.012	5.485
79685	SAP30L	SAP30 like	0.505	6.948
10826	FAXDC2	fatty acid hydroxylase domain containing 2	1.358	5.532
29093	MRPL22	mitochondrial ribosomal protein L22	-0.573	1.684
84868	HAVCR2	hepatitis A virus cellular receptor 2	-0.655	3.075
3702	ITK	IL2 inducible T cell kinase	-1.142	4.697
348938	NIPAL4	NIPA like domain containing 4	-1.307	13.15
8728	ADAM19	ADAM metallopeptidase domain 19	-1.059	4.629
134510	UBLCP1	ubiquitin like domain containing CTD phosphatase 1	-0.532	4.52
147	ADRA1B	adrenoceptor alpha 1B	1.332	3.413
7265	TTC1	tetratricopeptide repeat domain 1	-0.675	3.202
9232	PTTG1	PTTG1 regulator of sister chromatid separation, securin	-1.689	12.564
107075116	MIR3142HG	MIR3142 host gene	-1.413	6.304
23120	ATP10B	ATPase phospholipid transporting 10B (putative)	-1.69	10.648
285629	LINC02159	long intergenic non-protein coding RNA 2159	-1.909	3.853
134492	NUDCD2	NudC domain containing 2	-0.541	2.178
3161	HMMR	hyaluronan mediated motility receptor	-1.462	6.235
101927813	HMMR-AS1	HMMR antisense RNA 1	-1.446	5.778
5917	RARS1	arginyl-tRNA synthetase 1	-0.625	6.112
100131897	INSYN2B	inhibitory synaptic factor family member 2B	0.949	2.802
133874	C5orf58	chromosome 5 open reading frame 58	-0.993	2.214
3937	LCP2	lymphocyte cytosolic protein 2	-1.234	4.844
30820	KCNIP1	potassium voltage-gated channel interacting protein 1	0.875	1.782
3779	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	0.565	2.754
107986473	LOC107986473	uncharacterized LOC107986473	1.017	1.657
2568	GABRP	gamma-aminobutyric acid type A receptor subunit pi	0.953	1.781
64901	RANBP17	RAN binding protein 17	0.868	2.395
4869	NPM1	nucleophosmin 1	-0.759	3.358
54492	NEURL1B	neuralized E3 ubiquitin protein ligase 1B	0.549	1.807
51121	RPL26L1	ribosomal protein L26 like 1	-1.069	5.632
662	BNIP1	BCL2 interacting protein 1	-0.747	2.982
105377735	LOC105377735		0.823	1.884
107984118	LOC107984118	uncharacterized LOC107984118	1.784	3.856
4488	MSX2	msh homeobox 2	-0.634	1.816
94081	SFXN1	sideroflexin 1	-0.947	15.771
3274	HRH2	histamine receptor H2	-2.804	22.747
84321	THOC3	THO complex subunit 3	-0.88	3.031
107986486	LOC107986486		-0.889	2.71
202134	FAM153B	family with sequence similarity 153 member B	1.294	3.238
100507387	LOC100507387	replaced by ID 202134	1.132	1.856
51491	NOP16	NOP16 nucleolar protein	-0.523	2.097
112267951	LOC112267951		0.714	1.395
114787	GPRIN1	G protein regulated inducer of neurite outgrowth 1	-1.563	7.797
90249	UNC5A	unc-5 netrin receptor A	-1.391	5.339
3101	HK3	hexokinase 3	-0.942	1.827
53917	RAB24	RAB24, member RAS oncogene family	-0.776	8.674
27166	PRELID1	PRELI domain containing 1	-1.078	6.905
83463	MXD3	MAX dimerization protein 3	-1.068	7.678
10960	LMAN2	lectin, mannose binding 2	-0.575	2.871
10636	RGS14	regulator of G protein signaling 14	-1.045	7.673
2161	F12	coagulation factor XII	-2.101	15.439
